"GEOID","NAMELSAD","Particulate.Matter"
"01089010401","Census Tract 104.01",7.42641037087766
"01089000902","Census Tract 9.02",8.36345486545632
"01089001000","Census Tract 10",9.2474050624894
"01089001200","Census Tract 12",9.79539641051354
"01089000201","Census Tract 2.01",8.43887184115313
"01089000202","Census Tract 2.02",8.707881936252
"01089000301","Census Tract 3.01",8.7871168386743
"01089000302","Census Tract 3.02",8.84534658111469
"01089002200","Census Tract 22",9.52703185551024
"01089002722","Census Tract 27.22",8.14853130639927
"01089010901","Census Tract 109.01",7.9679257660901
"01089011100","Census Tract 111",8.19300407672843
"01089001401","Census Tract 14.01",8.01835524538846
"01089010623","Census Tract 106.23",7.69481401951789
"01089001301","Census Tract 13.01",9.43140431711486
"01089001302","Census Tract 13.02",9.01413839060798
"01089003000","Census Tract 30",9.85287178591319
"01089003100","Census Tract 31",9.69164503297259
"01089010624","Census Tract 106.24",7.66838272513494
"01089011014","Census Tract 110.14",8.27980270471756
"01089001902","Census Tract 19.02",8.06929628868345
"01089010800","Census Tract 108",7.95432940791372
"01089010701","Census Tract 107.01",7.71978705013983
"01089010301","Census Tract 103.01",7.66862142703875
"01089010302","Census Tract 103.02",7.93976576875127
"01089010200","Census Tract 102",7.78147053321888
"01089001901","Census Tract 19.01",8.28678857329075
"01089011021","Census Tract 110.21",8.30806234773666
"01089011200","Census Tract 112",8.23684085657199
"01089001801","Census Tract 18.01",7.588233833435
"01089011011","Census Tract 110.11",8.070400115075
"01089011022","Census Tract 110.22",8.41347419888485
"01089010622","Census Tract 106.22",8.25176253468648
"01089011400","Census Tract 114",8.06603260327323
"01089000403","Census Tract 4.03",7.85273677686999
"01089010502","Census Tract 105.02",7.53974281401747
"01089010501","Census Tract 105.01",7.52160519546185
"01089000901","Census Tract 9.01",8.35972440719879
"01089002921","Census Tract 29.21",8.35229489179017
"01089000602","Census Tract 6.02",8.43585410676127
"01089010612","Census Tract 106.12",7.87780289277071
"01089010702","Census Tract 107.02",8.08307496675515
"01089002801","Census Tract 28.01",9.08236230883199
"01089002922","Census Tract 29.22",7.84824116771464
"01089002912","Census Tract 29.12",7.97496453254436
"01089011012","Census Tract 110.12",8.01696341556624
"01089010902","Census Tract 109.02",7.690200612775
"01089011013","Census Tract 110.13",8.40560949819872
"01089001402","Census Tract 14.02",8.65833754568598
"01089010100","Census Tract 101",7.65145940418108
"01089010402","Census Tract 104.02",7.43272183654597
"01089010621","Census Tract 106.21",7.94394986565094
"01089011300","Census Tract 113",7.91671303010576
"01089001500","Census Tract 15",9.73099144591417
"01089001700","Census Tract 17",8.62140091427919
"01089001903","Census Tract 19.03",8.59923513951272
"01089002000","Census Tract 20",9.77202041557232
"01089002802","Census Tract 28.02",8.442982409965
"01089002911","Census Tract 29.11",8.59854281841312
"01089000501","Census Tract 5.01",8.69498019647318
"01089000502","Census Tract 5.02",8.96336882562473
"01089000503","Census Tract 5.03",9.10811666346227
"01089000601","Census Tract 6.01",8.86082770634749
"01089000701","Census Tract 7.01",9.49212828672558
"01089000702","Census Tract 7.02",9.59035720961202
"01089002100","Census Tract 21",9.96434868309526
"01089002300","Census Tract 23",9.8016862512487
"01089002400","Census Tract 24",9.20527190384784
"01089002501","Census Tract 25.01",9.94962473360599
"01089002502","Census Tract 25.02",9.03443471554948
"01089002600","Census Tract 26",9.48568494769784
"01089002701","Census Tract 27.01",8.97342336839758
"01089002721","Census Tract 27.21",8.7897251426114
